,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
2473,89246,891f8d7a44fffff,98,0,10,2,0,0,0,17,58,11,0,High-area,17.35,0.0,59.18,10.2,Business_percent
1652,59025,891f8d46867ffff,97,0,11,1,0,1,1,57,16,9,1,High-area,58.76,1.03,16.49,11.34,Shopping_percent
1537,54854,891f8d7a00bffff,97,0,4,2,0,1,1,18,34,36,1,High-area,18.56,1.03,35.05,4.12,Facilities
133,4445,891f8d45d97ffff,97,0,5,1,1,0,1,11,48,29,1,High-area,11.34,0.0,49.48,5.15,Business_percent
166,5622,891f8d44e37ffff,97,0,5,1,0,2,0,9,48,32,0,High-area,9.28,2.06,49.48,5.15,Business_percent
215,7558,891f8d44c23ffff,97,0,13,0,1,5,1,25,47,5,0,High-area,25.77,5.15,48.45,13.4,Business_percent
254,8775,891f8d7a497ffff,97,0,4,8,6,1,0,20,51,7,0,High-area,20.62,1.03,52.58,4.12,Business_percent
344,11686,891f8d44347ffff,97,0,6,0,1,1,0,14,54,21,0,High-area,14.43,1.03,55.67,6.19,Business_percent
377,12544,891f8d7a437ffff,97,0,8,6,0,1,0,15,52,14,1,High-area,15.46,1.03,53.61,8.25,Business_percent
407,13585,891f8d7a457ffff,97,0,6,2,3,2,3,15,53,13,0,High-area,15.46,2.06,54.64,6.19,Business_percent
692,24283,891f8d4594fffff,97,0,3,4,1,3,1,16,57,12,0,High-area,16.49,3.09,58.76,3.09,Business_percent
694,24407,891f8d459abffff,97,0,0,1,3,1,0,3,81,7,1,High-area,3.09,1.03,83.51,0.0,Business_percent
723,25515,891f8d45dafffff,97,0,4,2,1,1,0,22,60,7,0,High-area,22.68,1.03,61.86,4.12,Business_percent
743,26164,891f8d44e23ffff,97,0,2,0,0,3,3,12,67,9,1,High-area,12.37,3.09,69.07,2.06,Business_percent
921,32351,891f8d45957ffff,97,0,5,0,0,3,0,16,63,10,0,High-area,16.49,3.09,64.95,5.15,Business_percent
945,33140,891f8d7a5cfffff,97,0,7,3,1,1,1,7,65,12,0,High-area,7.22,1.03,67.01,7.22,Business_percent
951,33391,891f8d4480fffff,97,0,1,0,0,0,0,7,78,11,0,High-area,7.22,0.0,80.41,1.03,Business_percent
1103,38948,891f8d7a4b3ffff,97,0,5,3,4,2,2,4,59,17,1,High-area,4.12,2.06,60.82,5.15,Business_percent
1146,40580,891f8d7a0c7ffff,97,0,4,3,1,3,3,30,40,13,0,High-area,30.93,3.09,41.24,4.12,Business_percent
1178,42028,891f8d44837ffff,97,0,3,0,0,3,0,8,65,18,0,High-area,8.25,3.09,67.01,3.09,Business_percent
1235,43917,891f8d4480bffff,97,0,6,1,3,3,0,11,63,10,0,High-area,11.34,3.09,64.95,6.19,Business_percent
1236,44014,891f8d44b3bffff,97,0,2,0,1,0,2,16,55,21,0,High-area,16.49,0.0,56.7,2.06,Business_percent
1279,45755,891f8d44e47ffff,97,0,8,0,1,2,1,18,62,5,0,High-area,18.56,2.06,63.92,8.25,Business_percent
1299,46576,891f8d45893ffff,97,0,8,1,1,6,1,22,43,15,0,High-area,22.68,6.19,44.33,8.25,Business_percent
1333,47638,891f8d44323ffff,97,0,0,0,1,1,1,10,74,10,0,High-area,10.31,1.03,76.29,0.0,Business_percent
1349,48251,891f8d4483bffff,97,0,2,0,0,0,0,13,56,26,0,High-area,13.4,0.0,57.73,2.06,Business_percent
1378,49526,891f8d45db7ffff,97,0,3,0,0,0,0,14,65,15,0,High-area,14.43,0.0,67.01,3.09,Business_percent
1496,53317,891f8d44e4fffff,97,0,6,2,0,2,0,17,59,11,0,High-area,17.53,2.06,60.82,6.19,Business_percent
1557,55632,891f8d4430bffff,97,0,6,1,1,0,1,19,46,23,0,High-area,19.59,0.0,47.42,6.19,Business_percent
1572,56085,891f8d44a23ffff,97,0,4,2,2,1,0,14,61,13,0,High-area,14.43,1.03,62.89,4.12,Business_percent
1618,57893,891f8d7a693ffff,97,0,11,2,2,2,0,23,50,6,1,High-area,23.71,2.06,51.55,11.34,Business_percent
1720,61225,891f8d45907ffff,97,0,5,2,1,1,0,11,59,16,2,High-area,11.34,1.03,60.82,5.15,Business_percent
