,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
1221,43274,891f8d71287ffff,98,0,1,0,0,1,1,8,81,6,0,High-area,8.16,1.02,82.65,1.02,Business_percent
1518,53948,891f8d45dbbffff,98,0,4,4,2,1,1,21,54,11,0,High-area,21.43,1.02,55.1,4.08,Business_percent
1526,54448,891f8d44e4bffff,98,0,9,1,1,1,0,30,41,15,0,High-area,30.61,1.02,41.84,9.18,Business_percent
1594,56788,891f8d7a58bffff,98,0,6,1,2,0,0,12,55,21,1,High-area,12.24,0.0,56.12,6.12,Business_percent
1598,57023,891f8d4518bffff,98,0,1,0,1,1,0,20,40,35,0,High-area,20.41,1.02,40.82,1.02,Business_percent
1712,60946,891f8d44b6fffff,98,0,3,1,2,0,0,16,64,12,0,High-area,16.33,0.0,65.31,3.06,Business_percent
1725,61587,891f8d7a607ffff,98,0,1,0,0,0,0,1,58,38,0,High-area,1.02,0.0,59.18,1.02,Business_percent
1785,63621,891f8d4481bffff,98,0,5,0,0,2,1,20,58,12,0,High-area,20.41,2.04,59.18,5.1,Business_percent
1910,68443,891f8d4434fffff,98,0,6,0,0,0,1,15,60,16,0,High-area,15.31,0.0,61.22,6.12,Business_percent
1919,68940,891f8d7a413ffff,98,0,5,4,2,0,0,20,57,10,0,High-area,20.41,0.0,58.16,5.1,Business_percent
1942,69707,891f8d44a63ffff,98,0,3,0,2,0,0,30,36,27,0,High-area,30.61,0.0,36.73,3.06,Business_percent
1999,71673,891f8d44a17ffff,98,0,13,3,2,1,3,17,54,5,0,High-area,17.35,1.02,55.1,13.27,Business_percent
2008,72066,891f8d71653ffff,98,0,4,0,1,3,0,10,58,22,0,High-area,10.2,3.06,59.18,4.08,Business_percent
2085,74999,891f8d44843ffff,98,0,2,4,0,1,1,11,64,15,0,High-area,11.22,1.02,65.31,2.04,Business_percent
2280,81755,891f8d7a3afffff,98,0,8,4,0,3,0,17,52,14,0,High-area,17.35,3.06,53.06,8.16,Business_percent
2359,84791,891f8d7133bffff,98,0,2,1,0,0,0,4,79,11,1,High-area,4.08,0.0,80.61,2.04,Business_percent
2368,85096,891f8d459bbffff,98,0,2,3,2,0,0,3,82,6,0,High-area,3.06,0.0,83.67,2.04,Business_percent
2437,87781,891f8d44a6fffff,98,0,5,1,3,0,2,30,43,14,0,High-area,30.61,0.0,43.88,5.1,Business_percent
