,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
85,2575,891f8d44617ffff,46,0,1,1,0,1,1,7,26,9,0,High-area,15.22,2.17,56.52,2.17,Business_percent
173,5914,891f8d7b44fffff,46,0,0,1,0,1,1,5,35,3,0,High-area,10.87,2.17,76.09,0.0,Business_percent
196,6916,891f8d45ab7ffff,46,0,1,1,1,1,0,14,23,5,0,High-area,30.43,2.17,50.0,2.17,Business_percent
249,8558,891f8d716bbffff,46,0,1,0,0,0,0,5,35,5,0,High-area,10.87,0.0,76.09,2.17,Business_percent
538,18662,891f8d4ed6fffff,46,0,0,1,0,4,0,4,30,7,0,High-area,8.7,8.7,65.22,0.0,Business_percent
633,21918,891f8d7ae4fffff,46,0,9,0,0,4,1,3,26,3,0,High-area,6.52,8.7,56.52,19.57,Business_percent
1076,37913,891f8d4598bffff,46,0,2,0,4,1,2,8,24,5,0,High-area,17.39,2.17,52.17,4.35,Business_percent
1223,43468,891f8d45867ffff,46,0,1,1,0,1,1,7,27,8,0,High-area,15.22,2.17,58.7,2.17,Business_percent
1527,54546,891f8d7b0dbffff,46,0,3,0,3,2,1,8,26,3,0,High-area,17.39,4.35,56.52,6.52,Business_percent
1528,54592,891f8d714c3ffff,46,0,0,1,1,3,0,4,30,7,0,High-area,8.7,6.52,65.22,0.0,Business_percent
1631,58350,891f8d44897ffff,46,0,1,2,1,2,1,3,24,12,0,High-area,6.52,4.35,52.17,2.17,Business_percent
1786,63719,891f8d45153ffff,46,0,2,0,0,1,0,9,27,7,0,High-area,19.57,2.17,58.7,4.35,Business_percent
1996,71524,891f8d4e933ffff,46,0,0,1,1,2,0,11,22,9,0,High-area,23.91,4.35,47.83,0.0,Business_percent
2100,75412,891f8d7b4a7ffff,46,0,1,1,0,2,0,6,35,1,0,High-area,13.04,4.35,76.09,2.17,Business_percent
2234,80337,891f8d7a527ffff,46,0,1,0,1,1,0,6,35,2,0,High-area,13.04,2.17,76.09,2.17,Business_percent
26,780,891f8d4420bffff,45,0,1,0,0,1,0,1,37,5,0,High-area,2.22,2.22,82.22,2.22,Business_percent
446,15125,891f8d44d4bffff,45,0,0,0,0,1,1,11,29,3,0,High-area,24.44,2.22,64.44,0.0,Business_percent
497,17001,891f8d7360bffff,45,0,2,0,0,1,0,10,18,14,0,High-area,22.22,2.22,40.0,4.44,Business_percent
673,23405,891f8d7ac9bffff,45,0,2,0,0,1,3,8,28,3,0,High-area,17.78,2.22,62.22,4.44,Business_percent
829,29033,891f8d4424bffff,45,0,1,0,0,2,1,9,29,2,1,High-area,20.0,4.44,64.44,2.22,Business_percent
1108,39100,891f8d7a5b7ffff,45,0,1,1,1,2,0,5,31,4,0,High-area,11.11,4.44,68.89,2.22,Business_percent
1337,47816,891f8d444dbffff,45,0,0,0,1,2,0,6,31,5,0,High-area,13.33,4.44,68.89,0.0,Business_percent
2046,73654,891f8d473dbffff,45,0,0,0,0,0,0,7,37,1,0,High-area,15.56,0.0,82.22,0.0,Business_percent
2299,82673,891f8d7b093ffff,45,0,1,0,1,0,1,5,31,6,0,High-area,11.11,0.0,68.89,2.22,Business_percent
2343,84260,891f8d7ae4bffff,45,0,1,0,0,0,0,9,19,16,0,High-area,20.0,0.0,42.22,2.22,Business_percent
2422,87132,891f8d444cbffff,45,0,0,0,1,2,1,6,24,11,0,High-area,13.33,4.44,53.33,0.0,Business_percent
70,2163,891f8d7b42bffff,44,0,0,0,0,0,0,3,35,6,0,High-area,6.82,0.0,79.55,0.0,Business_percent
318,10769,891f8d7ac27ffff,44,0,1,0,0,3,0,8,29,3,0,High-area,18.18,6.82,65.91,2.27,Business_percent
326,10970,891f8d45e27ffff,44,0,3,1,0,2,0,9,27,2,0,High-area,20.45,4.55,61.36,6.82,Business_percent
337,11452,891f8d45853ffff,44,0,2,0,0,1,0,3,21,17,0,High-area,6.82,2.27,47.73,4.55,Business_percent
459,15693,891f8d45bd3ffff,44,0,3,0,1,0,0,11,23,6,0,High-area,25.0,0.0,52.27,6.82,Business_percent
710,25001,891f8d7a43bffff,44,0,4,2,0,2,5,2,27,2,0,High-area,4.55,4.55,61.36,9.09,Business_percent
868,30345,891f8d7b4afffff,44,0,0,0,0,0,0,4,16,24,0,High-area,9.09,0.0,36.36,0.0,Business_percent
1058,37074,891f8d45c7bffff,44,0,1,2,0,0,0,6,26,8,1,High-area,13.64,0.0,59.09,2.27,Business_percent
1094,38716,891f8d442d7ffff,44,0,4,0,0,0,0,6,25,9,0,High-area,13.64,0.0,56.82,9.09,Business_percent
1137,40178,891f8d7a08bffff,44,0,2,1,0,3,0,3,31,4,0,High-area,6.82,6.82,70.45,4.55,Business_percent
1643,58814,891f8d7b537ffff,44,0,1,0,2,0,0,9,26,6,0,High-area,20.45,0.0,59.09,2.27,Business_percent
1841,65769,891f8d7a007ffff,44,0,0,0,0,1,1,3,36,3,0,High-area,6.82,2.27,81.82,0.0,Business_percent
2083,74908,891f8d45d9bffff,44,0,1,0,1,3,0,9,27,3,0,High-area,20.45,6.82,61.36,2.27,Business_percent
2257,81024,891f8d4425bffff,44,0,0,1,0,0,0,3,35,5,0,High-area,6.82,0.0,79.55,0.0,Business_percent
2365,84910,891f8d4582fffff,44,0,2,0,0,1,0,4,31,6,0,High-area,9.09,2.27,70.45,4.55,Business_percent
89,2820,891f8d45a67ffff,43,0,6,1,0,1,1,7,22,5,0,High-area,16.28,2.33,51.16,13.95,Business_percent
235,8176,891f8d45e5bffff,43,0,1,1,0,2,0,5,29,5,0,High-area,11.63,4.65,67.44,2.33,Business_percent
445,15082,891f8d44283ffff,43,0,0,0,0,0,0,0,34,9,0,High-area,0.0,0.0,79.07,0.0,Business_percent
607,20856,891f8d71697ffff,43,0,1,0,0,3,0,9,26,4,0,High-area,20.93,6.98,60.47,2.33,Business_percent
653,22562,891f8d45473ffff,43,0,1,1,0,1,0,13,20,7,0,High-area,30.23,2.33,46.51,2.33,Business_percent
718,25384,891f8d4418fffff,43,0,0,1,1,1,1,3,33,3,0,High-area,6.98,2.33,76.74,0.0,Business_percent
719,25427,891f8d46a0fffff,43,0,1,1,0,1,2,10,19,9,0,High-area,23.26,2.33,44.19,2.33,Business_percent
845,29623,891f8d7b5a7ffff,43,0,1,0,0,0,0,4,34,4,0,High-area,9.3,0.0,79.07,2.33,Business_percent
962,33788,891f8d4405bffff,43,0,1,1,0,0,0,5,33,3,0,High-area,11.63,0.0,76.74,2.33,Business_percent
