,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
769,26977,891f8d7a2dbffff,58,0,4,1,0,0,0,12,35,6,0,High-area,20.69,0.0,60.34,6.9,Business_percent
817,28460,891f8d45c27ffff,58,0,3,1,0,3,1,7,43,0,0,High-area,12.07,5.17,74.14,5.17,Business_percent
1797,64359,891f8d451c7ffff,58,0,0,1,1,1,1,13,35,6,0,High-area,22.41,1.72,60.34,0.0,Business_percent
2,121,891f8d4584bffff,57,0,3,1,1,1,0,7,32,12,0,High-area,12.28,1.75,56.14,5.26,Business_percent
496,16944,891f8d732d7ffff,57,0,3,2,2,1,0,12,29,7,1,High-area,21.05,1.75,50.88,5.26,Business_percent
834,29212,891f8d7b687ffff,57,0,1,0,1,0,0,15,29,11,0,High-area,26.32,0.0,50.88,1.75,Business_percent
1653,59122,891f8d44327ffff,57,0,0,0,1,2,0,6,33,14,1,High-area,10.53,3.51,57.89,0.0,Business_percent
1658,59293,891f8d4e9afffff,57,0,0,0,0,1,1,7,38,10,0,High-area,12.28,1.75,66.67,0.0,Business_percent
2162,77842,891f8d7a093ffff,57,0,4,2,0,1,0,7,37,6,0,High-area,12.28,1.75,64.91,7.02,Business_percent
2326,83761,891f8d7a50bffff,57,0,5,2,0,2,0,7,35,6,0,High-area,12.28,3.51,61.4,8.77,Business_percent
554,19098,891f8d7b6a3ffff,56,0,0,1,0,1,2,10,39,3,0,High-area,17.86,1.79,69.64,0.0,Business_percent
760,26706,891f8d44dc3ffff,56,0,1,2,0,3,1,8,37,3,1,High-area,14.29,5.36,66.07,1.79,Business_percent
770,27035,891f8d78593ffff,56,0,1,0,0,1,0,6,42,5,1,High-area,10.71,1.79,75.0,1.79,Business_percent
841,29427,891f8d7b4cfffff,56,0,1,0,0,2,0,11,39,3,0,High-area,19.64,3.57,69.64,1.79,Business_percent
1152,40924,891f8d7aca3ffff,56,0,2,1,0,0,0,13,37,3,0,High-area,23.21,0.0,66.07,3.57,Business_percent
1437,51316,891f8d45a9bffff,56,0,1,0,0,1,0,6,47,1,0,High-area,10.71,1.79,83.93,1.79,Business_percent
797,27869,891f8d7a297ffff,55,0,0,0,1,3,3,6,28,14,0,High-area,10.91,5.45,50.91,0.0,Business_percent
1019,35733,891f8d449c3ffff,55,0,0,1,0,0,1,4,47,2,0,High-area,7.27,0.0,85.45,0.0,Business_percent
1670,59726,891f8d7a68fffff,55,0,3,0,0,1,1,4,36,8,2,High-area,7.27,1.82,65.45,5.45,Business_percent
1940,69552,891f8d44937ffff,55,0,0,0,0,1,0,13,38,3,0,High-area,23.64,1.82,69.09,0.0,Business_percent
2317,83526,891f8d7b0d3ffff,55,0,0,0,0,2,0,12,34,7,0,High-area,21.82,3.64,61.82,0.0,Business_percent
2332,83984,891f8d714dbffff,55,0,0,0,0,3,0,8,35,9,0,High-area,14.55,5.45,63.64,0.0,Business_percent
2400,86498,891f8d44c33ffff,55,0,2,2,0,2,0,7,40,2,0,High-area,12.73,3.64,72.73,3.64,Business_percent
732,25781,891f8d7a513ffff,54,0,0,0,0,0,0,6,41,7,0,High-area,11.11,0.0,75.93,0.0,Business_percent
751,26417,891f8d44ec3ffff,54,0,3,0,1,1,2,6,31,10,0,High-area,11.11,1.85,57.41,5.56,Business_percent
2151,77325,891f8d7a577ffff,54,0,2,1,0,1,1,14,27,8,0,High-area,25.93,1.85,50.0,3.7,Business_percent
2186,78573,891f8d44cc7ffff,54,0,1,0,1,2,0,4,41,5,0,High-area,7.41,3.7,75.93,1.85,Business_percent
163,5480,891f8d45a73ffff,53,0,1,2,0,0,2,3,38,7,0,High-area,5.66,0.0,71.7,1.89,Business_percent
218,7675,891f8d45813ffff,53,0,1,0,2,2,0,9,33,6,0,High-area,16.98,3.77,62.26,1.89,Business_percent
586,20206,891f8d45c1bffff,53,0,1,2,1,0,2,10,35,1,1,High-area,18.87,0.0,66.04,1.89,Business_percent
627,21610,891f8d46bc3ffff,53,0,5,0,1,3,0,14,21,8,1,High-area,26.42,5.66,39.62,9.43,Business_percent
847,29668,891f8d7125bffff,53,0,5,0,1,1,1,10,28,7,0,High-area,18.87,1.89,52.83,9.43,Business_percent
1274,45446,891f8d7b53bffff,53,0,2,0,2,2,0,6,28,13,0,High-area,11.32,3.77,52.83,3.77,Business_percent
2310,83172,891f8d46b27ffff,53,0,1,2,1,3,1,13,26,5,1,High-area,24.53,5.66,49.06,1.89,Business_percent
267,9070,891f8d7a647ffff,52,0,1,2,0,2,0,4,39,4,0,High-area,7.69,3.85,75.0,1.92,Business_percent
690,24218,891f8d450d7ffff,52,0,1,0,0,2,0,12,34,3,0,High-area,23.08,3.85,65.38,1.92,Business_percent
1246,44442,891f8d45487ffff,52,0,0,0,0,0,0,12,28,12,0,High-area,23.08,0.0,53.85,0.0,Business_percent
1470,52327,891f8d7a2b3ffff,52,0,5,2,2,1,1,10,25,6,0,High-area,19.23,1.92,48.08,9.62,Business_percent
1628,58270,891f8d7a333ffff,52,0,0,0,1,0,0,7,39,5,0,High-area,13.46,0.0,75.0,0.0,Business_percent
1920,69038,891f8d45c53ffff,52,0,4,0,0,0,0,5,35,8,0,High-area,9.62,0.0,67.31,7.69,Business_percent
2077,74634,891f8d44d4fffff,52,0,1,2,0,3,0,5,36,5,0,High-area,9.62,5.77,69.23,1.92,Business_percent
2236,80393,891f8d440b7ffff,52,0,1,0,0,1,0,9,39,2,0,High-area,17.31,1.92,75.0,1.92,Business_percent
2366,84954,891f8d4466fffff,52,0,4,0,0,1,2,6,31,8,0,High-area,11.54,1.92,59.62,7.69,Business_percent
2382,85836,891f8d446a7ffff,52,0,2,1,0,2,1,11,28,7,0,High-area,21.15,3.85,53.85,3.85,Business_percent
5,262,891f8d7b403ffff,51,0,1,0,0,1,2,10,25,12,0,High-area,19.61,1.96,49.02,1.96,Business_percent
539,18708,891f8d4418bffff,51,0,2,1,0,3,0,8,32,5,0,High-area,15.69,5.88,62.75,3.92,Business_percent
547,18854,891f8d44647ffff,51,0,1,2,0,1,0,7,37,3,0,High-area,13.73,1.96,72.55,1.96,Business_percent
849,29743,891f8d7a0a7ffff,51,0,5,0,0,3,0,5,25,13,0,High-area,9.8,5.88,49.02,9.8,Business_percent
1275,45499,891f8d46bd7ffff,51,0,4,1,1,4,1,13,21,6,0,High-area,25.49,7.84,41.18,7.84,Business_percent
1614,57766,891f8d4438fffff,51,0,3,1,0,3,1,5,27,11,0,High-area,9.8,5.88,52.94,5.88,Business_percent
