,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
2284,81998,891f8d7160bffff,67,0,0,0,0,0,1,5,54,7,0,High-area,7.46,0.0,80.6,0.0,Business_percent
936,32898,891f8d44337ffff,66,0,0,2,3,0,0,6,39,16,0,High-area,9.09,0.0,59.09,0.0,Business_percent
986,34519,891f8d716cbffff,66,0,4,1,0,0,0,9,31,21,0,High-area,13.64,0.0,46.97,6.06,Business_percent
1028,36002,891f8d7ad67ffff,66,0,0,0,0,0,1,18,36,11,0,High-area,27.27,0.0,54.55,0.0,Business_percent
1327,47439,891f8d7a1b3ffff,66,0,0,0,1,1,0,4,50,10,0,High-area,6.06,1.52,75.76,0.0,Business_percent
1392,49903,891f8d7b4b7ffff,66,0,4,3,0,1,3,3,43,9,0,High-area,4.55,1.52,65.15,6.06,Business_percent
2072,74298,891f8d7acb3ffff,66,0,3,0,1,2,0,18,34,8,0,High-area,27.27,3.03,51.52,4.55,Business_percent
35,1030,891f8d45c2fffff,65,0,3,0,0,3,0,7,46,6,0,High-area,10.77,4.62,70.77,4.62,Business_percent
49,1376,891f8d45d8fffff,65,0,2,2,1,1,0,7,36,16,0,High-area,10.77,1.54,55.38,3.08,Business_percent
796,27804,891f8d44273ffff,65,0,3,1,0,0,0,6,53,1,1,High-area,9.23,0.0,81.54,4.62,Business_percent
1245,44377,891f8d7a6a3ffff,65,0,4,2,1,0,1,9,33,15,0,High-area,13.85,0.0,50.77,6.15,Business_percent
1431,51117,891f8d7b6a7ffff,65,0,1,0,0,1,0,16,40,7,0,High-area,24.62,1.54,61.54,1.54,Business_percent
1908,68352,891f8d4e93bffff,65,0,8,0,1,4,0,19,28,5,0,High-area,29.23,6.15,43.08,12.31,Business_percent
171,5803,891f8d44923ffff,64,0,2,3,3,0,0,11,39,6,0,High-area,17.19,0.0,60.94,3.12,Business_percent
684,23978,891f8d441c7ffff,64,0,3,2,2,4,2,10,33,8,0,High-area,15.62,6.25,51.56,4.69,Business_percent
1383,49706,891f8d4586fffff,64,0,0,1,0,2,0,19,33,9,0,High-area,29.69,3.12,51.56,0.0,Business_percent
1463,51990,891f8d7ac8fffff,64,0,2,0,0,1,0,18,25,18,0,High-area,28.12,1.56,39.06,3.12,Business_percent
1781,63523,891f8d45c67ffff,64,0,2,1,0,1,0,12,41,7,0,High-area,18.75,1.56,64.06,3.12,Business_percent
2200,79267,891f8d44edbffff,64,0,1,0,0,1,2,7,41,12,0,High-area,10.94,1.56,64.06,1.56,Business_percent
2467,89027,891f8d4518fffff,64,0,7,1,1,1,1,10,32,11,0,High-area,15.62,1.56,50.0,10.94,Business_percent
66,2027,891f8d46bcbffff,63,0,1,2,0,1,1,4,50,4,0,High-area,6.35,1.59,79.37,1.59,Business_percent
1203,42806,891f8d45a97ffff,63,0,7,1,0,3,0,12,31,9,0,High-area,19.05,4.76,49.21,11.11,Business_percent
1350,48348,891f8d7b533ffff,63,0,3,0,0,2,0,11,35,12,0,High-area,17.46,3.17,55.56,4.76,Business_percent
1545,55223,891f8d71603ffff,63,0,0,0,0,3,0,7,40,13,0,High-area,11.11,4.76,63.49,0.0,Business_percent
1826,65176,891f8d7b46bffff,63,0,2,0,0,1,0,14,34,12,0,High-area,22.22,1.59,53.97,3.17,Business_percent
2231,80212,891f8d45cb3ffff,63,0,0,0,0,6,0,8,43,6,0,High-area,12.7,9.52,68.25,0.0,Business_percent
2281,81853,891f8d45cc7ffff,63,0,0,0,0,3,0,9,43,8,0,High-area,14.29,4.76,68.25,0.0,Business_percent
457,15598,891f8d7ad6fffff,62,0,1,1,0,1,0,18,30,11,0,High-area,29.03,1.61,48.39,1.61,Business_percent
644,22198,891f8d45807ffff,62,0,3,1,0,0,0,3,48,6,1,High-area,4.84,0.0,77.42,4.84,Business_percent
1639,58534,891f8d44dcbffff,62,0,2,1,0,5,0,14,25,15,0,High-area,22.58,8.06,40.32,3.23,Business_percent
2132,76423,891f8d44c2fffff,62,0,3,2,0,5,4,6,36,6,0,High-area,9.68,8.06,58.06,4.84,Business_percent
121,4131,891f8d7ad73ffff,61,0,5,0,0,0,1,3,46,6,0,High-area,4.92,0.0,75.41,8.2,Business_percent
221,7792,891f8d454a3ffff,61,0,0,0,0,5,1,7,45,3,0,High-area,11.48,8.2,73.77,0.0,Business_percent
270,9173,891f8d7a0cfffff,61,0,2,1,0,1,1,10,35,10,1,High-area,16.39,1.64,57.38,3.28,Business_percent
277,9498,891f8d7ae33ffff,61,0,4,0,0,6,0,11,34,6,0,High-area,18.03,9.84,55.74,6.56,Business_percent
468,15973,891f8d441bbffff,61,0,0,0,1,3,2,14,41,0,0,High-area,22.95,4.92,67.21,0.0,Business_percent
1646,58894,891f8d4433bffff,61,0,0,2,1,0,0,1,52,5,0,High-area,1.64,0.0,85.25,0.0,Business_percent
1763,62949,891f8d716abffff,61,0,3,3,0,1,1,6,25,21,1,High-area,9.84,1.64,40.98,4.92,Business_percent
28,828,891f8d45b17ffff,60,0,4,0,0,3,2,12,33,6,0,High-area,20.0,5.0,55.0,6.67,Business_percent
433,14742,891f8d7164bffff,60,0,0,0,0,2,0,14,37,7,0,High-area,23.33,3.33,61.67,0.0,Business_percent
556,19157,891f8d7b417ffff,60,0,0,1,2,1,1,11,35,9,0,High-area,18.33,1.67,58.33,0.0,Business_percent
1048,36849,891f8d45567ffff,60,0,0,0,0,2,1,6,30,21,0,High-area,10.0,3.33,50.0,0.0,Business_percent
1187,42320,891f8d44c67ffff,60,0,2,1,1,6,2,4,36,8,0,High-area,6.67,10.0,60.0,3.33,Business_percent
1231,43776,891f8d71377ffff,60,0,2,2,1,1,0,0,48,6,0,High-area,0.0,1.67,80.0,3.33,Business_percent
1382,49646,891f8d44bafffff,60,0,0,0,2,1,1,3,47,6,0,High-area,5.0,1.67,78.33,0.0,Business_percent
1922,69092,891f8d45d23ffff,60,0,1,0,0,1,1,7,49,1,0,High-area,11.67,1.67,81.67,1.67,Business_percent
2013,72286,891f8d4588fffff,60,0,1,1,0,1,0,14,39,4,0,High-area,23.33,1.67,65.0,1.67,Business_percent
2148,77067,891f8d44cabffff,60,0,2,2,0,1,1,12,40,2,0,High-area,20.0,1.67,66.67,3.33,Business_percent
429,14551,891f8d7122bffff,59,0,1,1,0,1,1,5,45,5,0,High-area,8.47,1.69,76.27,1.69,Business_percent
2099,75353,891f8d7b09bffff,59,0,2,0,0,2,0,2,41,12,0,High-area,3.39,3.39,69.49,3.39,Business_percent
