,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
988,34627,891f8d44b93ffff,96,0,1,1,1,2,1,14,63,12,1,High-area,14.58,2.08,65.62,1.04,Business_percent
1467,52164,891f8d45b97ffff,96,0,3,1,1,3,2,10,69,7,0,High-area,10.42,3.12,71.88,3.12,Business_percent
1787,63765,891f8d4e9b7ffff,96,0,3,1,0,5,1,26,45,15,0,High-area,27.08,5.21,46.88,3.12,Business_percent
1905,68148,891f8d7124fffff,96,0,6,4,0,1,1,18,48,18,0,High-area,18.75,1.04,50.0,6.25,Business_percent
2027,72748,891f8d44ad7ffff,96,0,3,0,1,1,0,14,61,16,0,High-area,14.58,1.04,63.54,3.12,Business_percent
2030,72919,891f8d44857ffff,96,0,13,2,0,0,2,11,57,11,0,High-area,11.46,0.0,59.38,13.54,Business_percent
2178,78265,891f8d7a0d3ffff,96,0,4,3,4,1,1,14,55,14,0,High-area,14.58,1.04,57.29,4.17,Business_percent
2320,83587,891f8d44c2bffff,96,0,4,3,1,1,0,15,67,5,0,High-area,15.62,1.04,69.79,4.17,Business_percent
2357,84684,891f8d44c17ffff,96,0,7,3,1,7,0,17,46,15,0,High-area,17.71,7.29,47.92,7.29,Business_percent
2447,88115,891f8d71473ffff,96,0,4,0,0,2,0,12,46,32,0,High-area,12.5,2.08,47.92,4.17,Business_percent
187,6438,891f8d44bc3ffff,95,0,8,2,1,0,2,12,52,18,0,High-area,12.63,0.0,54.74,8.42,Business_percent
550,18930,891f8d44e7bffff,95,0,5,0,0,2,1,12,68,7,0,High-area,12.63,2.11,71.58,5.26,Business_percent
665,22865,891f8d4552fffff,95,0,1,2,3,1,1,7,46,33,1,High-area,7.37,1.05,48.42,1.05,Business_percent
1249,44519,891f8d45ba7ffff,95,0,1,0,1,5,0,20,55,13,0,High-area,21.05,5.26,57.89,1.05,Business_percent
1303,46752,891f8d44807ffff,95,0,3,1,2,1,1,9,61,17,0,High-area,9.47,1.05,64.21,3.16,Business_percent
1756,62688,891f8d45b2bffff,95,0,2,4,0,1,1,16,63,8,0,High-area,16.84,1.05,66.32,2.11,Business_percent
1775,63235,891f8d44b67ffff,95,0,7,1,0,0,1,3,67,16,0,High-area,3.16,0.0,70.53,7.37,Business_percent
1864,66357,891f8d7a6a7ffff,95,0,5,0,1,0,0,29,31,29,0,High-area,30.53,0.0,32.63,5.26,Business_percent
1889,67389,891f8d7a6dbffff,95,0,6,1,2,2,0,15,59,10,0,High-area,15.79,2.11,62.11,6.32,Business_percent
2032,73044,891f8d7a6bbffff,95,0,3,4,0,1,0,20,53,12,2,High-area,21.05,1.05,55.79,3.16,Business_percent
2133,76485,891f8d45b77ffff,95,0,3,1,0,2,0,11,54,24,0,High-area,11.58,2.11,56.84,3.16,Business_percent
2147,76972,891f8d44babffff,95,0,1,0,1,1,0,8,77,7,0,High-area,8.42,1.05,81.05,1.05,Business_percent
88,2726,891f8d44817ffff,94,0,4,0,0,1,0,11,63,15,0,High-area,11.7,1.06,67.02,4.26,Business_percent
453,15289,891f8d7a6abffff,94,0,2,2,0,3,0,16,61,10,0,High-area,17.02,3.19,64.89,2.13,Business_percent
900,31646,891f8d45c3bffff,94,0,5,1,1,1,0,31,41,14,0,High-area,32.98,1.06,43.62,5.32,Business_percent
75,2302,891f8d44b23ffff,93,0,2,0,2,1,0,10,56,22,0,High-area,10.75,1.08,60.22,2.15,Business_percent
1102,38855,891f8d7a42bffff,93,0,8,2,0,1,1,16,48,17,0,High-area,17.2,1.08,51.61,8.6,Business_percent
1166,41682,891f8d71227ffff,93,0,0,1,0,3,3,7,73,5,1,High-area,7.53,3.23,78.49,0.0,Business_percent
1253,44777,891f8d45953ffff,93,0,0,2,2,1,0,4,76,8,0,High-area,4.3,1.08,81.72,0.0,Business_percent
1832,65419,891f8d7140bffff,93,0,3,0,0,2,0,22,49,17,0,High-area,23.66,2.15,52.69,3.23,Business_percent
1893,67538,891f8d45903ffff,93,0,1,0,0,0,2,4,69,17,0,High-area,4.3,0.0,74.19,1.08,Business_percent
2285,82065,891f8d7a477ffff,93,0,8,1,2,1,5,13,51,12,0,High-area,13.98,1.08,54.84,8.6,Business_percent
1154,40989,891f8d45e7bffff,92,0,5,1,2,1,2,10,50,21,0,High-area,10.87,1.09,54.35,5.43,Business_percent
1731,61746,891f8d44b73ffff,92,0,1,0,0,0,0,6,79,6,0,High-area,6.52,0.0,85.87,1.09,Business_percent
1912,68548,891f8d4508bffff,92,0,3,4,0,2,1,20,58,4,0,High-area,21.74,2.17,63.04,3.26,Business_percent
1400,50201,891f8d7a40fffff,91,0,8,4,0,3,5,15,52,4,0,High-area,16.48,3.3,57.14,8.79,Business_percent
