,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
1722,61342,891f8d44ab3ffff,97,0,3,3,0,0,1,12,67,11,0,High-area,12.37,0.0,69.07,3.09,Business_percent
1800,64450,891f8d44b4fffff,97,0,7,1,4,3,0,25,45,12,0,High-area,25.77,3.09,46.39,7.22,Business_percent
1870,66726,891f8d7a623ffff,97,0,3,2,0,0,4,23,52,13,0,High-area,23.71,0.0,53.61,3.09,Business_percent
1938,69431,891f8d7a5d7ffff,97,0,2,0,0,0,0,5,79,11,0,High-area,5.15,0.0,81.44,2.06,Business_percent
2081,74714,891f8d44b03ffff,97,0,3,1,1,2,0,5,83,2,0,High-area,5.15,2.06,85.57,3.09,Business_percent
2082,74811,891f8d448d3ffff,97,0,3,2,0,2,1,29,49,11,0,High-area,29.9,2.06,50.52,3.09,Business_percent
2183,78431,891f8d7a46bffff,97,0,7,1,2,1,1,22,54,9,0,High-area,22.68,1.03,55.67,7.22,Business_percent
2397,86363,891f8d45987ffff,97,0,11,15,0,0,1,4,54,12,0,High-area,4.12,0.0,55.67,11.34,Business_percent
559,19278,891f8d7a057ffff,96,0,4,1,0,4,1,30,23,33,0,High-area,31.25,4.17,23.96,4.17,Facilities
94,3136,891f8d45a87ffff,96,0,10,1,1,3,1,16,51,12,1,High-area,16.67,3.12,53.12,10.42,Business_percent
388,13044,891f8d44b37ffff,96,0,2,0,0,2,0,11,51,30,0,High-area,11.46,2.08,53.12,2.08,Business_percent
456,15502,891f8d7a07bffff,96,0,0,3,0,1,1,14,68,9,0,High-area,14.58,1.04,70.83,0.0,Business_percent
501,17160,891f8d45943ffff,96,0,11,7,3,1,3,17,41,13,0,High-area,17.71,1.04,42.71,11.46,Business_percent
914,32108,891f8d45c0fffff,96,0,4,1,1,0,1,16,46,27,0,High-area,16.67,0.0,47.92,4.17,Business_percent
