,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
1789,63904,891f8d45923ffff,99,0,13,3,0,1,0,14,56,12,0,High-area,14.14,1.01,56.57,13.13,Business_percent
1859,66208,891f8d4593bffff,99,0,6,3,0,0,2,9,66,13,0,High-area,9.09,0.0,66.67,6.06,Business_percent
1868,66608,891f8d45d67ffff,99,0,7,1,1,1,0,19,47,23,0,High-area,19.19,1.01,47.47,7.07,Business_percent
1872,66846,891f8d7a4d3ffff,99,0,7,2,0,1,1,21,34,33,0,High-area,21.21,1.01,34.34,7.07,Business_percent
1896,67636,891f8d4590bffff,99,0,1,3,1,0,0,11,71,12,0,High-area,11.11,0.0,71.72,1.01,Business_percent
1907,68253,891f8d441cbffff,99,0,5,2,2,1,1,22,54,12,0,High-area,22.22,1.01,54.55,5.05,Business_percent
1946,69947,891f8d46a17ffff,99,0,2,3,1,2,0,26,57,8,0,High-area,26.26,2.02,57.58,2.02,Business_percent
1955,70267,891f8d44bcbffff,99,0,6,3,7,2,1,5,50,25,0,High-area,5.05,2.02,50.51,6.06,Business_percent
1979,70845,891f8d7a06bffff,99,0,0,2,1,1,0,14,78,3,0,High-area,14.14,1.01,78.79,0.0,Business_percent
1987,71153,891f8d459a7ffff,99,0,1,0,0,2,1,3,61,30,1,High-area,3.03,2.02,61.62,1.01,Business_percent
2007,71967,891f8d716cfffff,99,0,10,3,0,0,0,15,40,31,0,High-area,15.15,0.0,40.4,10.1,Business_percent
2053,73829,891f8d7a073ffff,99,0,6,4,0,1,0,8,65,15,0,High-area,8.08,1.01,65.66,6.06,Business_percent
2068,74152,891f8d44ccfffff,99,0,3,2,3,0,1,7,53,30,0,High-area,7.07,0.0,53.54,3.03,Business_percent
2095,75232,891f8d44ac7ffff,99,0,3,2,0,1,1,2,79,11,0,High-area,2.02,1.01,79.8,3.03,Business_percent
2150,77226,891f8d4486bffff,99,0,2,0,0,1,3,4,72,17,0,High-area,4.04,1.01,72.73,2.02,Business_percent
2156,77544,891f8d441dbffff,99,0,5,0,0,5,0,6,54,29,0,High-area,6.06,5.05,54.55,5.05,Business_percent
2189,78654,891f8d7a4d7ffff,99,0,9,3,7,0,0,14,55,11,0,High-area,14.14,0.0,55.56,9.09,Business_percent
2198,79130,891f8d44b77ffff,99,0,3,1,1,0,1,9,74,10,0,High-area,9.09,0.0,74.75,3.03,Business_percent
2241,80608,891f8d7a6afffff,99,0,9,4,1,0,0,22,50,13,0,High-area,22.22,0.0,50.51,9.09,Business_percent
2277,81610,891f8d45d53ffff,99,0,5,1,1,2,0,17,58,15,0,High-area,17.17,2.02,58.59,5.05,Business_percent
2327,83818,891f8d7a4c3ffff,99,0,8,5,4,1,0,15,56,10,0,High-area,15.15,1.01,56.57,8.08,Business_percent
2346,84369,891f8d45937ffff,99,0,2,1,0,0,0,13,60,22,1,High-area,13.13,0.0,60.61,2.02,Business_percent
2376,85527,891f8d4428fffff,99,0,1,2,0,3,1,18,54,20,0,High-area,18.18,3.03,54.55,1.01,Business_percent
2380,85734,891f8d4592fffff,99,0,5,4,4,0,1,13,64,8,0,High-area,13.13,0.0,64.65,5.05,Business_percent
2442,87956,891f8d45bb3ffff,99,0,5,2,0,4,1,20,36,31,0,High-area,20.2,4.04,36.36,5.05,Business_percent
2462,88849,891f8d7a54fffff,99,0,5,30,2,0,2,9,43,8,0,High-area,9.09,0.0,43.43,5.05,Business_percent
498,17046,891f8d7a5dbffff,98,0,3,0,2,0,1,39,39,14,0,High-area,39.8,0.0,39.8,3.06,Shopping_percent
175,6009,891f8d44acfffff,98,0,2,1,4,0,2,8,72,9,0,High-area,8.16,0.0,73.47,2.04,Business_percent
223,7860,891f8d7a59bffff,98,0,1,0,0,1,0,1,77,18,0,High-area,1.02,1.02,78.57,1.02,Business_percent
355,11934,891f8d45b67ffff,98,0,5,2,1,1,2,16,62,9,0,High-area,16.33,1.02,63.27,5.1,Business_percent
362,12120,891f8d4597bffff,98,0,8,1,1,2,0,24,44,18,0,High-area,24.49,2.04,44.9,8.16,Business_percent
411,13766,891f8d7a40bffff,98,0,2,1,0,1,0,12,74,8,0,High-area,12.24,1.02,75.51,2.04,Business_percent
425,14335,891f8d44b63ffff,98,0,4,1,2,0,0,15,65,11,0,High-area,15.31,0.0,66.33,4.08,Business_percent
428,14453,891f8d44a57ffff,98,0,6,0,0,0,1,10,72,7,2,High-area,10.2,0.0,73.47,6.12,Business_percent
481,16345,891f8d7a447ffff,98,0,1,0,0,0,1,11,72,13,0,High-area,11.22,0.0,73.47,1.02,Business_percent
519,17939,891f8d7a48bffff,98,0,20,1,4,0,1,32,34,6,0,High-area,32.65,0.0,34.69,20.41,Business_percent
525,18159,891f8d45d43ffff,98,0,2,1,0,0,1,5,73,15,1,High-area,5.1,0.0,74.49,2.04,Business_percent
532,18368,891f8d7a5bbffff,98,0,7,1,1,2,0,12,69,6,0,High-area,12.24,2.04,70.41,7.14,Business_percent
535,18501,891f8d7a58fffff,98,0,1,0,0,0,0,15,71,11,0,High-area,15.31,0.0,72.45,1.02,Business_percent
679,23604,891f8d44a03ffff,98,0,10,3,8,2,1,8,61,4,1,High-area,8.16,2.04,62.24,10.2,Business_percent
717,25286,891f8d7a507ffff,98,0,0,4,0,0,1,10,77,6,0,High-area,10.2,0.0,78.57,0.0,Business_percent
724,25612,891f8d45d2bffff,98,0,4,3,6,2,1,10,55,17,0,High-area,10.2,2.04,56.12,4.08,Business_percent
839,29290,891f8d7a017ffff,98,0,7,0,0,1,0,13,73,4,0,High-area,13.27,1.02,74.49,7.14,Business_percent
888,31050,891f8d44b7bffff,98,0,0,1,1,0,2,4,76,14,0,High-area,4.08,0.0,77.55,0.0,Business_percent
892,31186,891f8d44b0bffff,98,0,1,1,2,0,0,20,64,10,0,High-area,20.41,0.0,65.31,1.02,Business_percent
1034,36284,891f8d7a063ffff,98,0,2,1,0,5,1,27,58,4,0,High-area,27.55,5.1,59.18,2.04,Business_percent
1059,37118,891f8d44d43ffff,98,0,0,1,0,3,1,12,76,3,2,High-area,12.24,3.06,77.55,0.0,Business_percent
1133,39906,891f8d44c77ffff,98,0,8,5,0,2,2,14,54,13,0,High-area,14.29,2.04,55.1,8.16,Business_percent
1159,41188,891f8d4484bffff,98,0,1,0,1,0,0,7,67,19,3,High-area,7.14,0.0,68.37,1.02,Business_percent
1161,41364,891f8d44d57ffff,98,0,3,1,0,1,0,10,77,6,0,High-area,10.2,1.02,78.57,3.06,Business_percent
