,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
2453,88309,891f8d45c6fffff,91,0,1,2,0,2,0,18,52,15,1,High-area,19.78,2.2,57.14,1.1,Business_percent
502,17256,891f8d45d93ffff,90,0,0,0,1,0,0,11,54,24,0,High-area,12.22,0.0,60.0,0.0,Business_percent
1744,62213,891f8d45bbbffff,90,0,1,3,0,1,0,11,66,8,0,High-area,12.22,1.11,73.33,1.11,Business_percent
2130,76326,891f8d44b53ffff,90,0,1,3,0,1,2,4,66,13,0,High-area,4.44,1.11,73.33,1.11,Business_percent
2367,85006,891f8d44377ffff,90,0,0,0,0,0,0,9,68,13,0,High-area,10.0,0.0,75.56,0.0,Business_percent
1596,56917,891f8d44e43ffff,89,0,4,3,4,4,0,10,47,17,0,High-area,11.24,4.49,52.81,4.49,Business_percent
1602,57229,891f8d7a603ffff,89,0,3,1,1,1,1,15,57,10,0,High-area,16.85,1.12,64.04,3.37,Business_percent
228,8048,891f8d7ae93ffff,88,0,4,0,4,4,0,14,33,29,0,High-area,15.91,4.55,37.5,4.55,Business_percent
1017,35616,891f8d45e47ffff,88,0,4,0,2,4,0,21,42,15,0,High-area,23.86,4.55,47.73,4.55,Business_percent
1175,41934,891f8d71673ffff,88,0,1,0,0,2,0,4,67,14,0,High-area,4.55,2.27,76.14,1.14,Business_percent
1688,60088,891f8d4596bffff,88,0,3,0,1,3,0,12,50,19,0,High-area,13.64,3.41,56.82,3.41,Business_percent
86,2621,891f8d7165bffff,87,0,0,0,0,1,1,4,59,22,0,High-area,4.6,1.15,67.82,0.0,Business_percent
1134,40004,891f8d44b6bffff,87,0,5,1,1,1,2,14,49,14,0,High-area,16.09,1.15,56.32,5.75,Business_percent
1609,57412,891f8d45b0fffff,86,0,2,0,0,1,3,16,57,7,0,High-area,18.6,1.16,66.28,2.33,Business_percent
2275,81496,891f8d459dbffff,86,0,2,5,1,2,1,9,55,11,0,High-area,10.47,2.33,63.95,2.33,Business_percent
465,15829,891f8d7b483ffff,85,0,4,2,1,3,2,14,51,8,0,High-area,16.47,3.53,60.0,4.71,Business_percent
1551,55440,891f8d4430fffff,85,0,2,0,1,0,0,10,58,14,0,High-area,11.76,0.0,68.24,2.35,Business_percent
2475,89381,891f8d44e3bffff,84,0,1,4,0,1,1,4,72,1,0,High-area,4.76,1.19,85.71,1.19,Business_percent
671,23296,891f8d7a5afffff,83,0,0,0,0,3,0,4,74,2,0,High-area,4.82,3.61,89.16,0.0,Business_percent
748,26298,891f8d459c3ffff,82,0,4,11,0,1,0,6,53,7,0,High-area,7.32,1.22,64.63,4.88,Business_percent
1055,36951,891f8d7a027ffff,82,0,4,2,0,4,3,15,37,17,0,High-area,18.29,4.88,45.12,4.88,Business_percent
1371,49180,891f8d449dbffff,82,0,2,1,3,0,0,7,53,15,1,High-area,8.54,0.0,64.63,2.44,Business_percent
1426,50938,891f8d446b3ffff,82,0,0,0,0,3,1,17,57,4,0,High-area,20.73,3.66,69.51,0.0,Business_percent
1821,65043,891f8d45113ffff,82,0,5,2,1,1,0,16,45,11,1,High-area,19.51,1.22,54.88,6.1,Business_percent
2312,83236,891f8d7a677ffff,82,0,0,0,1,1,0,15,57,8,0,High-area,18.29,1.22,69.51,0.0,Business_percent
