,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
13,483,891f8d45c2bffff,40,0,1,0,1,0,1,3,30,4,0,High-area,7.5,0.0,75.0,2.5,Business_percent
520,18037,891f8d45507ffff,40,0,0,0,0,1,1,2,30,6,0,High-area,5.0,2.5,75.0,0.0,Business_percent
610,20989,891f8d44c53ffff,40,0,0,0,1,0,0,2,22,15,0,High-area,5.0,0.0,55.0,0.0,Business_percent
685,24042,891f8d4686fffff,40,0,2,1,1,1,0,11,21,3,0,High-area,27.5,2.5,52.5,5.0,Business_percent
699,24633,891f8d44313ffff,40,0,0,1,0,0,0,3,33,3,0,High-area,7.5,0.0,82.5,0.0,Business_percent
956,33643,891f8d4e907ffff,40,0,3,0,0,2,0,9,19,7,0,High-area,22.5,5.0,47.5,7.5,Business_percent
1056,37033,891f8d44113ffff,40,0,1,1,0,2,1,5,26,3,1,High-area,12.5,5.0,65.0,2.5,Business_percent
1115,39263,891f8d4588bffff,40,0,1,0,0,1,0,7,24,7,0,High-area,17.5,2.5,60.0,2.5,Business_percent
1200,42716,891f8d4553bffff,40,0,1,0,2,0,1,3,27,6,0,High-area,7.5,0.0,67.5,2.5,Business_percent
1211,43030,891f8d44acbffff,40,0,0,2,0,0,0,1,20,17,0,High-area,2.5,0.0,50.0,0.0,Business_percent
1242,44281,891f8d7b473ffff,40,0,0,1,0,1,0,5,22,11,0,High-area,12.5,2.5,55.0,0.0,Business_percent
1316,47061,891f8d7b447ffff,40,0,1,0,0,1,1,4,31,2,0,High-area,10.0,2.5,77.5,2.5,Business_percent
1541,55063,891f8d45b1bffff,40,0,1,0,0,0,0,3,33,3,0,High-area,7.5,0.0,82.5,2.5,Business_percent
1949,70082,891f8d7a3a7ffff,40,0,3,0,3,1,0,5,19,9,0,High-area,12.5,2.5,47.5,7.5,Business_percent
1965,70542,891f8d73603ffff,40,0,0,0,2,0,1,5,27,5,0,High-area,12.5,0.0,67.5,0.0,Business_percent
2313,83318,891f8d4e99bffff,40,0,1,0,0,2,0,2,24,11,0,High-area,5.0,5.0,60.0,2.5,Business_percent
2356,84644,891f8d7a127ffff,40,0,3,0,0,0,0,5,27,5,0,High-area,12.5,0.0,67.5,7.5,Business_percent
1208,42940,891f8d44dd7ffff,39,0,1,0,0,1,0,17,17,3,0,High-area,43.59,2.56,43.59,2.56,Shopping_percent
58,1676,891f8d7ae7bffff,39,0,0,0,0,1,0,5,32,1,0,High-area,12.82,2.56,82.05,0.0,Business_percent
714,25166,891f8d7a4abffff,39,0,0,2,3,2,2,1,22,7,0,High-area,2.56,5.13,56.41,0.0,Business_percent
825,28941,891f8d7122fffff,39,0,0,0,0,0,1,4,29,5,0,High-area,10.26,0.0,74.36,0.0,Business_percent
947,33240,891f8d7a113ffff,39,0,2,0,0,3,0,5,22,7,0,High-area,12.82,7.69,56.41,5.13,Business_percent
1065,37412,891f8d44243ffff,39,0,1,0,1,2,0,7,19,8,1,High-area,17.95,5.13,48.72,2.56,Business_percent
1329,47520,891f8d71633ffff,39,0,1,0,1,0,0,8,25,4,0,High-area,20.51,0.0,64.1,2.56,Business_percent
1567,55899,891f8d44297ffff,39,0,0,1,0,1,1,2,29,5,0,High-area,5.13,2.56,74.36,0.0,Business_percent
2012,72247,891f8d458d7ffff,39,0,0,0,0,0,0,4,30,5,0,High-area,10.26,0.0,76.92,0.0,Business_percent
2136,76648,891f8d7a2c3ffff,39,0,2,1,0,1,0,12,16,7,0,High-area,30.77,2.56,41.03,5.13,Business_percent
2403,86601,891f8d716afffff,39,0,1,0,1,1,0,4,24,8,0,High-area,10.26,2.56,61.54,2.56,Business_percent
2438,87879,891f8d7b637ffff,39,0,1,0,1,1,0,7,26,3,0,High-area,17.95,2.56,66.67,2.56,Business_percent
1829,65370,891f8d7b577ffff,38,0,2,0,0,0,0,3,9,24,0,High-area,7.89,0.0,23.68,5.26,Facilities
45,1245,891f8d4e913ffff,38,0,2,0,0,4,0,5,15,12,0,High-area,13.16,10.53,39.47,5.26,Business_percent
153,5198,891f8d449c7ffff,38,0,1,0,0,0,2,2,21,12,0,High-area,5.26,0.0,55.26,2.63,Business_percent
167,5719,891f8d451cbffff,38,0,0,2,0,0,0,3,25,8,0,High-area,7.89,0.0,65.79,0.0,Business_percent
309,10379,891f8d7128fffff,38,0,3,0,0,2,1,4,26,2,0,High-area,10.53,5.26,68.42,7.89,Business_percent
504,17445,891f8d45873ffff,38,0,3,1,0,2,1,5,20,6,0,High-area,13.16,5.26,52.63,7.89,Business_percent
630,21774,891f8d7b523ffff,38,0,0,0,0,1,1,4,26,6,0,High-area,10.53,2.63,68.42,0.0,Business_percent
676,23470,891f8d71693ffff,38,0,2,0,0,3,0,3,24,6,0,High-area,7.89,7.89,63.16,5.26,Business_percent
777,27226,891f8d45a63ffff,38,0,0,0,0,0,0,6,29,3,0,High-area,15.79,0.0,76.32,0.0,Business_percent
867,30307,891f8d45417ffff,38,0,0,0,0,2,1,5,23,7,0,High-area,13.16,5.26,60.53,0.0,Business_percent
