h3_code,station_count,plug_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,total_poi
88283475d9fffff,10,20,1,0,0,0,0,1,68,30,0,100
88283475cbfffff,3,5,1,0,4,1,2,6,21,16,0,51
8828347553fffff,6,8,8,2,3,8,1,9,21,29,0,81
8828347433fffff,5,10,0,0,0,0,0,1,7,92,0,100
882834743dfffff,9,22,7,1,2,0,0,8,46,31,0,95
