,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
36646,8919695256bffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
36647,8919695346bffff,14,0,0,0,1,0,0,0,12,1,0,Low-area,False
36661,891969534cbffff,80,3,7,2,0,1,1,37,28,4,0,High-area,True
36741,891969c98afffff,21,0,0,0,0,1,1,5,13,1,0,Low-area,False
36762,891969c93b7ffff,2,0,0,0,0,0,0,1,1,0,0,Low-area,False
36764,891968249b3ffff,46,2,0,1,0,1,1,5,31,7,0,High-area,True
36810,89196952653ffff,96,1,16,3,6,0,0,16,50,5,0,High-area,True
36906,89196953567ffff,93,4,1,0,0,1,2,2,81,6,0,High-area,True
36999,891969c9a43ffff,13,0,0,0,1,1,0,2,4,5,0,Low-area,False
37012,891969c81a7ffff,3,0,0,0,0,0,1,0,2,0,0,Low-area,False
37015,8919695362bffff,76,1,5,4,1,2,2,8,41,13,0,High-area,True
37091,891969c9edbffff,21,1,0,0,0,1,1,2,13,4,0,Low-area,True
37112,891969535c3ffff,89,3,10,2,0,0,2,15,52,8,0,High-area,True
37201,89196826b6fffff,22,2,1,0,0,1,0,2,17,1,0,Low-area,True
37223,891968269a7ffff,79,2,9,3,2,2,1,20,40,2,0,High-area,True
37302,89196826887ffff,5,0,0,0,0,0,0,1,4,0,0,Low-area,False
37307,89196953317ffff,2,0,0,0,0,0,1,0,0,1,0,Low-area,False
37309,89196950687ffff,76,3,0,0,0,0,1,15,44,16,0,High-area,True
37385,89196824573ffff,4,1,0,0,0,0,0,1,3,0,0,Low-area,True
37389,89196824987ffff,41,1,0,0,0,0,0,6,29,6,0,High-area,True
37430,891969531a3ffff,2,2,0,0,0,0,0,0,2,0,0,Low-area,True
37432,891969531cfffff,78,3,1,1,0,0,1,9,54,12,0,High-area,True
37510,891968268afffff,2,1,0,0,1,0,0,0,1,0,0,Low-area,True
37512,891969c98a7ffff,15,0,3,5,0,0,2,0,5,0,0,Low-area,False
37527,8919695262fffff,68,3,4,1,2,0,1,10,40,10,0,High-area,True
37595,891969534b7ffff,99,0,8,5,1,0,7,40,29,9,0,High-area,False
37694,891969c9877ffff,96,3,2,4,6,0,2,13,65,4,0,High-area,True
37790,8919695356fffff,72,5,0,0,0,0,0,9,57,6,0,High-area,True
37862,89196826b5bffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
37863,89196952033ffff,5,0,0,1,1,0,0,1,0,2,0,Low-area,False
37868,891969c9a2bffff,93,3,7,6,7,0,1,15,50,7,0,High-area,True
37961,891969c98b3ffff,36,3,1,1,0,0,2,0,25,7,0,High-area,True
37997,89196826d6bffff,22,0,1,0,1,2,0,10,7,1,0,Low-area,False
38019,891969525dbffff,6,0,1,1,0,0,0,0,3,0,1,Low-area,False
38025,891969cd0cfffff,5,0,0,0,1,2,0,1,1,0,0,Low-area,False
38030,89196953507ffff,96,1,0,9,0,0,1,4,69,13,0,High-area,True
38126,891969c938fffff,1,1,0,0,0,0,0,0,1,0,0,Low-area,True
38127,891969523c3ffff,8,2,0,0,0,0,0,1,6,1,0,Low-area,True
38135,8919695242bffff,40,1,0,1,1,3,1,7,23,4,0,High-area,True
38175,891969c9c57ffff,6,2,2,0,0,0,0,1,3,0,0,Low-area,True
38181,891969533cfffff,16,4,1,1,0,0,0,2,12,0,0,Low-area,True
38197,89196952587ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
38198,891969524a3ffff,6,0,0,0,0,0,0,2,3,1,0,Low-area,False
38204,891969c9e9bffff,59,2,3,0,0,1,1,13,33,8,0,High-area,True
38263,8919682682fffff,32,1,0,0,1,0,0,12,18,1,0,High-area,True
38295,891969c9a13ffff,66,5,2,1,0,1,1,15,39,7,0,High-area,True
38361,891969c8b83ffff,13,0,0,2,0,0,0,0,5,6,0,Low-area,False
38374,89196826d13ffff,11,0,0,0,0,0,0,4,7,0,0,Low-area,False
38385,891969c9b6fffff,99,0,9,2,2,0,3,63,17,3,0,High-area,False
38484,8919682696bffff,63,1,5,3,2,4,0,16,26,7,0,High-area,True
38547,89196826bdbffff,20,2,0,0,0,1,0,4,15,0,0,Low-area,True
38567,891969c8a0bffff,19,1,0,0,0,1,0,0,16,2,0,Low-area,True
38586,891969522d3ffff,96,2,5,5,0,0,3,14,59,10,0,High-area,True
38682,891969c992fffff,56,4,3,4,0,0,4,4,37,4,0,High-area,True
38738,891969cd603ffff,5,1,0,0,0,0,0,1,4,0,0,Low-area,True
38743,89196952073ffff,25,1,3,0,0,1,1,7,12,1,0,Low-area,True
38768,8919695336fffff,1,0,1,0,0,0,0,0,0,0,0,Low-area,False
38769,8919695040bffff,78,2,8,0,1,1,0,11,52,5,0,High-area,True
38847,891969525cfffff,15,1,0,0,0,2,1,1,11,0,0,Low-area,True
38862,891969c996bffff,22,0,6,3,2,0,3,1,3,4,0,Low-area,False
38884,89196826a17ffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,False
38887,89196953287ffff,68,4,12,0,0,0,2,24,26,4,0,High-area,True
38955,891969c9a9bffff,27,1,2,1,0,0,0,4,19,1,0,Low-area,True
38982,891969522c7ffff,69,3,0,1,3,1,0,8,49,7,0,High-area,True
39051,891969c99d7ffff,35,0,3,1,0,0,7,6,11,7,0,High-area,False
39086,89196952037ffff,12,0,0,0,1,0,0,3,7,1,0,Low-area,False
39098,89196824d67ffff,76,2,9,1,0,3,1,15,43,4,0,High-area,True
39174,89196824917ffff,34,1,1,0,0,0,1,4,24,4,0,High-area,True
39208,891969c9ad7ffff,74,4,5,1,2,0,0,14,51,1,0,High-area,True
39282,89196952063ffff,58,3,0,1,1,0,0,4,46,6,0,High-area,True
39340,8919695361bffff,2,0,0,0,1,0,0,0,1,0,0,Low-area,False
39342,89196953457ffff,35,1,2,2,1,0,3,7,14,6,0,High-area,True
39377,89196953473ffff,90,3,9,11,1,2,1,32,25,9,0,High-area,True
39467,891969c8b37ffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,False
