,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
1984,891e8055edbffff,7,0,1,0,0,1,0,1,4,0,0,Low-area,False
1991,891e80cdc67ffff,6,0,1,1,0,0,0,1,3,0,0,Low-area,False
1997,891e80583d7ffff,3,0,0,0,0,0,1,1,1,0,0,Low-area,False
2000,891e80553bbffff,59,0,7,6,1,3,0,16,24,2,0,High-area,False
2059,891e80518dbffff,39,1,3,4,1,0,0,9,17,5,0,High-area,True
2098,891e805224bffff,3,0,0,0,0,1,0,1,1,0,0,Low-area,False
2101,891e805a083ffff,2,0,0,0,0,0,0,0,0,2,0,Low-area,False
2103,891e805316fffff,12,0,3,1,0,2,1,3,2,0,0,Low-area,False
2115,891e80571d7ffff,7,0,1,1,0,0,0,2,3,0,0,Low-area,False
2122,891e80c80a7ffff,6,0,0,0,0,0,0,4,2,0,0,Low-area,False
2128,891e8051b77ffff,2,0,1,0,0,0,0,1,0,0,0,Low-area,False
2130,891e8052a33ffff,97,0,18,3,1,2,28,20,20,5,0,High-area,False
2227,891e804049bffff,5,0,2,0,0,0,0,2,1,0,0,Low-area,False
2232,891e80cd36fffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
2233,891e80cdb5bffff,17,0,0,0,2,1,0,4,5,5,0,Low-area,False
2250,891e805a287ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
2251,891e805a177ffff,4,0,0,0,0,1,0,0,3,0,0,Low-area,False
2255,891e8051823ffff,9,0,1,0,2,1,0,1,4,0,0,Low-area,False
2264,891e80523cfffff,25,0,1,0,1,1,4,7,7,4,0,Low-area,False
2289,891e8051837ffff,74,1,3,1,0,1,4,15,41,9,0,High-area,True
2363,891e80540b3ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
2364,891e80564d3ffff,1,0,1,0,0,0,0,0,0,0,0,Low-area,False
2365,891e805a023ffff,7,0,0,0,0,3,0,3,0,1,0,Low-area,False
2372,891e804154fffff,2,0,0,0,0,1,0,1,0,0,0,Low-area,False
2374,891e805ab2fffff,5,0,3,0,0,0,2,0,0,0,0,Low-area,False
2379,891e8042547ffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
2380,891e8052b17ffff,91,0,18,9,1,1,8,14,35,5,0,High-area,False
2471,891e80552dbffff,17,0,0,0,0,0,0,2,14,1,0,Low-area,False
2488,891e805b30bffff,95,0,14,3,1,2,2,36,30,7,0,High-area,False
2583,891e8052157ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
2584,891e8055117ffff,3,0,0,0,0,0,0,0,2,1,0,Low-area,False
2587,891e80c8163ffff,2,0,0,0,0,0,2,0,0,0,0,Low-area,False
2589,891e8057237ffff,14,0,0,0,0,0,0,1,13,0,0,Low-area,False
2603,891e80412d3ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
2604,891e8052a47ffff,95,0,10,6,9,1,9,36,20,4,0,High-area,False
2699,891e8051bd3ffff,2,0,0,0,0,1,0,0,1,0,0,Low-area,False
2701,891e8058a0fffff,3,0,0,0,0,0,0,1,2,0,0,Low-area,False
2704,891e805a4bbffff,3,0,0,0,0,0,1,0,2,0,0,Low-area,False
2707,891e8624e6bffff,2,0,2,0,0,0,0,0,0,0,0,Low-area,False
2709,891e8050dafffff,97,0,9,9,1,2,0,29,34,13,0,High-area,False
2806,891e80cdad7ffff,64,0,10,1,0,2,0,24,19,8,0,High-area,False
2870,891e805a06fffff,20,0,3,1,0,1,0,7,8,0,0,Low-area,False
2890,891e8058593ffff,12,0,1,0,0,3,3,3,2,0,0,Low-area,False
2902,891e8055da7ffff,15,0,1,0,1,3,0,3,5,2,0,Low-area,False
2917,891e8055443ffff,5,0,0,0,0,0,0,1,0,4,0,Low-area,False
2922,891e8051ba7ffff,1,0,0,1,0,0,0,0,0,0,0,Low-area,False
2923,891e80c88abffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
2924,891e80cd02bffff,9,0,1,0,0,2,0,0,4,2,0,Low-area,False
2933,891e805323bffff,11,0,0,0,0,1,0,3,7,0,0,Low-area,False
2944,891e8042cbbffff,20,0,2,2,0,0,0,4,11,1,0,Low-area,False
2964,891e8050cb7ffff,30,0,3,1,1,1,4,9,9,2,0,High-area,False
2994,891e8050363ffff,9,2,1,1,1,1,0,0,2,3,0,Low-area,True
3003,891e80c98d3ffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
3004,891e8042dcbffff,7,0,0,0,0,0,0,1,5,1,0,Low-area,False
3011,891e80cde97ffff,2,0,1,1,0,0,0,0,0,0,0,Low-area,False
3013,891e8050b4fffff,3,0,0,0,1,0,0,0,1,1,0,Low-area,False
3016,891e80516d7ffff,2,0,0,0,0,0,0,1,1,0,0,Low-area,False
3018,891e80cde13ffff,16,0,4,0,0,1,1,2,8,0,0,Low-area,False
3034,891e80532c3ffff,7,0,0,0,0,0,0,3,2,2,0,Low-area,False
3041,891e80516cbffff,5,0,1,0,0,1,0,2,1,0,0,Low-area,False
3046,891e80556c3ffff,85,0,11,1,1,0,1,22,41,8,0,High-area,False
3131,891e80ca10bffff,4,0,0,1,0,1,0,0,1,1,0,Low-area,False
3135,891e8052e47ffff,68,0,3,3,4,2,3,9,38,6,0,High-area,False
3203,891e8056217ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
3204,891e805b283ffff,18,0,2,1,0,5,0,2,4,4,0,Low-area,False
3222,891e80c9d4fffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
3223,891e805158fffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
3224,891e8050bb7ffff,48,0,4,2,0,2,0,11,24,5,0,High-area,False
3272,891e805a03bffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
3273,891e805ae53ffff,15,0,0,2,0,1,0,3,8,1,0,Low-area,False
3288,891e8055307ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,False
3289,891e805a463ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
3290,891e8057083ffff,3,0,0,0,0,0,1,0,2,0,0,Low-area,False
3293,891e8042ed7ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
3294,891e80cd277ffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
3295,891e8054203ffff,30,0,3,2,0,1,1,9,12,2,0,High-area,False
3325,891e8055083ffff,35,0,1,0,0,0,0,13,19,2,0,High-area,False
3360,891e8052397ffff,11,0,0,0,2,0,0,1,8,0,0,Low-area,False
3371,891e805759bffff,3,0,0,0,0,0,0,1,2,0,0,Low-area,False
3374,891e800b633ffff,2,0,1,0,1,0,0,0,0,0,0,Low-area,False
3376,891e8058063ffff,5,0,0,0,0,0,1,1,2,1,0,Low-area,False
3381,891e8057207ffff,34,0,2,1,2,2,0,5,20,2,0,High-area,False
3415,891e8052c5bffff,9,0,1,1,0,0,1,2,1,3,0,Low-area,False
3424,891e8042e8fffff,16,0,0,0,0,5,0,3,2,6,0,Low-area,False
3440,891e8052e43ffff,96,0,9,1,1,1,0,33,43,8,0,High-area,False
3536,891e805869bffff,2,0,1,0,0,0,0,0,1,0,0,Low-area,False
3538,891e80cacd3ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
3539,891e8041d0bffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,False
3541,891e805604fffff,3,0,0,0,0,1,0,2,0,0,0,Low-area,False
3544,891e80ca147ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
3545,891e8058697ffff,2,0,0,0,0,1,0,0,1,0,0,Low-area,False
3547,891e8050c53ffff,12,0,1,1,4,1,3,0,1,1,0,Low-area,False
3559,891e8042cafffff,28,0,1,1,2,2,3,6,12,1,0,Low-area,False
3587,891e80c9ec7ffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
3588,891e8050253ffff,49,0,4,1,0,0,1,18,21,4,0,High-area,False
3637,891e8050d8bffff,98,0,14,10,0,1,3,32,36,2,0,High-area,False
3735,891e8055c8fffff,3,0,0,0,2,0,0,0,0,1,0,Low-area,False
3738,891e80583afffff,2,0,0,1,0,0,0,0,1,0,0,Low-area,False
3740,891e8054397ffff,4,0,0,0,0,0,1,1,2,0,0,Low-area,False
3744,891e805a25bffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
3745,891e80505abffff,94,0,5,3,4,0,14,11,50,7,0,High-area,False
3839,891e80510a7ffff,3,0,1,0,0,0,0,0,2,0,0,Low-area,False
3842,891e805a3cbffff,28,0,0,0,0,2,2,11,10,3,0,Low-area,False
3870,891e8052373ffff,82,0,5,3,2,3,3,20,34,12,0,High-area,False
3952,891e805764bffff,10,0,1,1,0,1,0,0,6,1,0,Low-area,False
3962,891e8050693ffff,20,0,1,1,0,1,3,4,6,4,0,Low-area,False
3982,891e805758bffff,29,0,1,2,0,0,0,12,13,1,0,Low-area,False
