,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
74022,891f8d7a353ffff,26,0,0,0,0,2,2,10,12,0,0,Low-area,38.46,7.69,46.15,0.0,Business_percent
74048,891f8d7aec3ffff,41,0,0,3,3,3,0,3,22,7,0,High-area,7.32,7.32,53.66,0.0,Business_percent
74089,891f8d7a897ffff,23,0,0,0,0,0,0,3,20,0,0,Low-area,13.04,0.0,86.96,0.0,Business_percent
74112,891f8d7328fffff,6,0,0,0,0,0,0,0,5,1,0,Low-area,0.0,0.0,83.33,0.0,Business_percent
74118,891f8d71e77ffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
74119,891f8d455b3ffff,17,0,0,0,1,1,1,2,10,2,0,Low-area,11.76,5.88,58.82,0.0,Business_percent
74136,891f8d7aea3ffff,16,0,0,0,0,2,0,0,13,1,0,Low-area,0.0,12.5,81.25,0.0,Business_percent
74152,891f8d44ccfffff,99,0,3,2,3,0,1,7,53,30,0,High-area,7.07,0.0,53.54,3.03,Business_percent
74251,891f8d46b97ffff,3,0,0,1,0,0,0,1,1,0,0,Low-area,33.33,0.0,33.33,0.0,Shopping_percent
74254,891f8d44357ffff,19,0,5,1,7,0,0,0,5,1,0,Low-area,0.0,0.0,26.32,26.32,Business_percent
74273,891f8d4728fffff,25,0,0,0,0,1,0,7,12,4,1,Low-area,28.0,4.0,48.0,0.0,Business_percent
74298,891f8d7acb3ffff,66,0,3,0,1,2,0,18,34,8,0,High-area,27.27,3.03,51.52,4.55,Business_percent
74364,891f8d45993ffff,100,0,12,3,0,1,0,20,61,3,0,High-area,20.0,1.0,61.0,12.0,Business_and_Services
74464,891f8d4486fffff,100,2,11,6,1,3,0,19,38,22,0,High-area,19.0,3.0,38.0,11.0,Business_and_Services
74564,891f8d7ad93ffff,44,1,0,0,3,3,0,9,26,3,0,High-area,20.45,6.82,59.09,0.0,Business_percent
74608,891f8d7a9cbffff,26,0,0,1,0,0,0,3,19,3,0,Low-area,11.54,0.0,73.08,0.0,Business_percent
74634,891f8d44d4fffff,52,0,1,2,0,3,0,5,36,5,0,High-area,9.62,5.77,69.23,1.92,Business_percent
74686,891f8d73613ffff,16,0,0,0,0,2,0,1,12,1,0,Low-area,6.25,12.5,75.0,0.0,Business_percent
74702,891f8d7326bffff,5,0,0,0,0,0,0,0,3,2,0,Low-area,0.0,0.0,60.0,0.0,Business_percent
74707,891f8d47383ffff,7,0,0,0,0,1,1,1,4,0,0,Low-area,14.29,14.29,57.14,0.0,Business_percent
74714,891f8d44b03ffff,97,0,3,1,1,2,0,5,83,2,0,High-area,5.15,2.06,85.57,3.09,Business_percent
74811,891f8d448d3ffff,97,0,3,2,0,2,1,29,49,11,0,High-area,29.9,2.06,50.52,3.09,Business_percent
74908,891f8d45d9bffff,44,0,1,0,1,3,0,9,27,3,0,High-area,20.45,6.82,61.36,2.27,Business_percent
74952,891f8d45e3bffff,47,0,2,0,0,1,0,16,14,14,0,High-area,34.04,2.13,29.79,4.26,Shopping_percent
74999,891f8d44843ffff,98,0,2,4,0,1,1,11,64,15,0,High-area,11.22,1.02,65.31,2.04,Business_percent
75097,891f8d472abffff,3,0,0,0,0,0,0,0,1,2,0,Low-area,0.0,0.0,33.33,0.0,Business_percent
75100,891f8d46e47ffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
75102,891f8d46bc7ffff,11,0,1,0,0,3,1,0,6,0,0,Low-area,0.0,27.27,54.55,9.09,Business_percent
75113,891f8d45a0bffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
75114,891f8d7ac53ffff,35,0,0,0,0,1,2,3,26,3,0,High-area,8.57,2.86,74.29,0.0,Business_percent
75149,891f8d470afffff,2,0,0,0,0,0,0,0,1,1,0,Low-area,0.0,0.0,50.0,0.0,Business_percent
75151,891f8d44693ffff,7,0,0,0,0,0,0,0,5,2,0,Low-area,0.0,0.0,71.43,0.0,Business_percent
75158,891f8d46a03ffff,47,1,2,3,0,4,0,8,27,3,0,High-area,17.02,8.51,57.45,4.26,Business_percent
75205,891f8d7a1a3ffff,27,0,0,0,1,2,1,5,17,1,0,Low-area,18.52,7.41,62.96,0.0,Business_percent
75232,891f8d44ac7ffff,99,0,3,2,0,1,1,2,79,11,0,High-area,2.02,1.01,79.8,3.03,Business_percent
75331,891f8d44b8fffff,5,0,0,0,0,0,1,0,4,0,0,Low-area,0.0,0.0,80.0,0.0,Business_percent
75336,891f8d4708fffff,3,0,0,0,0,0,0,2,1,0,0,Low-area,66.67,0.0,33.33,0.0,Shopping_percent
75339,891f8d45023ffff,14,0,0,1,0,0,0,1,10,2,0,Low-area,7.14,0.0,71.43,0.0,Business_percent
75353,891f8d7b09bffff,59,0,2,0,0,2,0,2,41,12,0,High-area,3.39,3.39,69.49,3.39,Business_percent
75412,891f8d7b4a7ffff,46,0,1,1,0,2,0,6,35,1,0,High-area,13.04,4.35,76.09,2.17,Business_percent
75458,891f8d44e57ffff,68,1,6,2,2,1,0,15,35,7,0,High-area,22.06,1.47,51.47,8.82,Business_percent
75526,891f8d44c03ffff,30,1,0,0,1,8,0,2,19,0,0,High-area,6.67,26.67,63.33,0.0,Business_percent
75556,891f8d45d17ffff,96,1,4,3,1,1,3,22,52,10,0,High-area,22.92,1.04,54.17,4.17,Business_percent
75652,891f8d4499bffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,0.0,100.0,0.0,0.0,Transport_percent
75653,891f8d4559bffff,22,0,0,0,0,1,0,2,16,3,0,Low-area,9.09,4.55,72.73,0.0,Business_percent
